STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,ANNUAL_ESAL_TREND,ANNUAL_GESAL_TREND
1,Alabama,0507,2,1997,84775,98272
1,Alabama,0507,1,1997,84775,98272
1,Alabama,0507,1,1992,73577,85279
1,Alabama,0507,2,1992,73577,85279
1,Alabama,0507,2,1991,71244,5205
1,Alabama,0507,1,1991,71244,82596
1,Alabama,0507,1,1995,80220,92991
1,Alabama,0507,2,1995,80220,92991
1,Alabama,0507,2,1994,42387,49136
1,Alabama,0507,1,1994,42387,49136
1,Alabama,0507,1,1993,75446,87463
1,Alabama,0507,2,1993,75446,87463
1,Alabama,0507,1,1984,60906,70591
1,Alabama,0507,1,1985,61513,71304
1,Alabama,0507,1,1982,42742,49549
1,Alabama,0507,1,1986,69175,80178
1,Alabama,0507,1,1987,77161,89467
1,Alabama,0507,1,1990,69529,80591
1,Alabama,0507,1,1983,45815,53097
1,Alabama,0507,1,1988,82603,95777
1,Alabama,0507,1,1980,51504,59695
1,Alabama,0507,1,1978,51717,59944
1,Alabama,0507,1,1981,51363,59531
1,Alabama,0507,1,1977,44103,51140
1,Alabama,0507,1,1979,51804,60051
1,Alabama,0507,1,1976,42859,29050
1,Alabama,0507,1,1989,86158,99889
1,Alabama,0508,1,1975,0,0
1,Alabama,0508,1,2017,117694,139016
1,Alabama,0508,2,2017,117694,139016
1,Alabama,0508,1,2016,116329,137387
1,Alabama,0508,2,2016,116329,137387
1,Alabama,0508,2,2015,114329,135007
1,Alabama,0508,1,2015,114329,135007
1,Alabama,0508,1,2014,112533,132910
1,Alabama,0508,1,2013,110850,130906
1,Alabama,0508,2,2013,110850,130906
1,Alabama,0508,1,2007,99254,117197
1,Alabama,0508,2,2007,99254,117197
1,Alabama,0508,1,2010,105459,124527
1,Alabama,0508,2,2010,105459,124527
1,Alabama,0508,1,2011,107160,126558
1,Alabama,0508,2,2011,107160,126558
1,Alabama,0508,1,2009,102620,121206
1,Alabama,0508,2,2009,102620,121206
1,Alabama,0508,2,2012,109467,129254
1,Alabama,0508,1,2012,109467,129254
1,Alabama,0508,2,2008,101495,119861
1,Alabama,0508,1,2008,101495,119861
1,Alabama,0508,2,2014,112533,132910
1,Alabama,0508,2,2005,95729,113041
1,Alabama,0508,1,2005,95729,113041
1,Alabama,0508,2,2004,93978,111001
